timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726032806216,560,HTTP POST Request,200,OK,Load Simulation 1-1,text,true,,352,564,8,8,https://lapor.folkatech.com/api/report,549,0,491
1726032806672,104,HTTP POST Request,200,OK,Load Simulation 1-7,text,true,,352,564,8,8,https://lapor.folkatech.com/api/report,98,0,57
1726032806376,400,HTTP POST Request,200,OK,Load Simulation 1-4,text,true,,352,564,8,8,https://lapor.folkatech.com/api/report,389,0,330
1726032806216,560,HTTP POST Request,200,OK,Load Simulation 1-2,text,true,,352,564,8,8,https://lapor.folkatech.com/api/report,549,0,491
1726032806474,302,HTTP POST Request,200,OK,Load Simulation 1-5,text,true,,352,564,8,8,https://lapor.folkatech.com/api/report,291,0,233
1726032806573,203,HTTP POST Request,200,OK,Load Simulation 1-6,text,true,,352,564,8,8,https://lapor.folkatech.com/api/report,198,0,133
1726032806275,501,HTTP POST Request,200,OK,Load Simulation 1-3,text,true,,352,564,8,8,https://lapor.folkatech.com/api/report,490,0,431
1726032806773,94,HTTP POST Request,200,OK,Load Simulation 1-8,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,94,0,53
1726032806872,94,HTTP POST Request,200,OK,Load Simulation 1-9,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,94,0,55
1726032806969,90,HTTP POST Request,200,OK,Load Simulation 1-10,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,89,0,50
1726032807072,86,HTTP POST Request,200,OK,Load Simulation 1-11,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,85,0,49
1726032807170,93,HTTP POST Request,200,OK,Load Simulation 1-12,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,92,0,49
1726032807275,94,HTTP POST Request,200,OK,Load Simulation 1-13,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,93,0,52
1726032807370,92,HTTP POST Request,200,OK,Load Simulation 1-14,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,92,0,53
